D_min (mm),D_max (mm),tΔDmp_U,tΔDmp_L,tVdsp,tVdmp,tKea,tSD,tS1a,tACs_U,tAC1s_L,tVC1s
,2.5,0,-5,5,4,3,5,4.0,8,11,5
2.5,6.0,0,-5,5,4,3,5,4.0,8,11,5
6.0,18.0,0,-5,5,4,3,5,4.0,8,11,5
18.0,30.0,0,-6,6,5,3,6,4.0,8,11,5
30.0,50.0,0,-7,7,5,4,7,4.0,8,11,5
50.0,80.0,0,-9,9,7,5,8,4.0,10,14,6
80.0,120.0,0,-10,10,8,5,10,4.5,11,16,8
120.0,150.0,0,-11,11,8,6,11,5.0,13,18,8
150.0,180.0,0,-13,13,10,7,13,5.0,14,20,8
180.0,250.0,0,-15,15,11,8,15,5.5,15,21,10
250.0,315.0,0,-18,18,14,9,18,6.5,18,25,11
315.0,400.0,0,-20,20,15,10,20,6.5,20,28,13
400.0,500.0,0,-23,23,17,12,23,7.5,23,33,15
500.0,630.0,0,-28,28,21,14,25,9.0,25,35,18
630.0,800.0,0,-35,35,26,18,30,10.0,30,42,20
